enunciados|modelos,,,,,,,,
"Un ciclo de aire estándar, llamado ciclo dual, con calores específicos constantes, se lleva a cabo en un sistema cerrado de cilindro-émbolo, y está compuesto de los siguien tes cinco procesos: Compresión isentrópica con una relación de compresión, r = V1/V2 Adición de calor a volumen constante con una relación de presión, rp = P3P2 Una adición de calor a presión constante con una rela ción de volumen, rc = V4/V3 Expansión isentrópica mientras se realiza trabajo hasta V5 = V1 Rechazo de calor a volumen constante, hasta el estado inicial. a) Trace los diagramas P-v y T-s para este ciclo. b) Obtenga una expresión para la eficiencia térmica del ciclo como función de k, r, rc y rp. c) Evalúe el límite de la eficiencia cuando rp tiende a la uni dad, y compare su respuesta con la expresión para la efi ciencia del ciclo Diesel. d) Evalúe el límite de la eficiencia cuando rc tiende a la uni dad, y compare su respuesta con la expresión para eficien cia del ciclo de Otto.|Diesel",,,,,,,,
"Un ciclo Brayton ideal simple con aire como fluido de trabajo tiene una relación de presiones de 10. El aire entra al compresor a 520 R y a la turbina a 2.000 R. Tomando en cuenta la variación de calores específicos con la temperatura, determine a) la temperatura del aire a la salida del compresor, b) la relación del trabajo de retroceso y c) la eficiencia térmica.|Joule",,,,,,,,
"Un ciclo Brayton simple que usa aire como fluido de trabajo tiene una relación de presiones de 10. Las temperaturas mínima y máxima en el ciclo son 295 y 1.240 K. Suponiendo una eficiencia isentrópica de 83 por ciento para el compresor y 87 por ciento para la turbina, determine a) la temperatura del aire a la salida de la turbina, b) la producción neta de trabajo y c) la eficiencia térmica.|Joule",,,,,,,,
"Un ciclo Brayton ideal simple usa helio como fluido de trabajo, opera con 12 psia y 60 °F a la entrada del compre sor, tiene una relación de presiones de 14, y una temperatura máxima de ciclo de 1 300 °F. ¿Cuánta potencia producirá este ciclo cuando el flujo de circulación del helio por el ciclo es 100 lbm/min? Use calores específicos constantes a tempera tura ambiente.|Joule",,,,,,,,
"Considere un ciclo Brayton simple que usa aire como fluido de trabajo, tiene una relación de presiones de 12, una temperatura máxima de ciclo de 600 °C, y la entrada al com presor opera a 90 kPa y 15 °C. ¿Qué tendrá mayor impacto en la relación de trabajo de retroceso: una eficiencia isentrópica de compresor de 90 por ciento o una eficiencia isentrópica de turbina de 90 por ciento? Use calores específicos constantes a temperatura ambiente.|Joule",,,,,,,,
"Se usa aire como fluido de trabajo en un ciclo Brayton ideal simple que tiene una relación de presiones de 12, una temperatura de entrada al compresor de 300 K y una tempe ratura de entrada a la turbina de 1.000 K. Determine el flujo másico de aire necesario para una producción neta de poten cia de 70 MW, suponiendo que tanto el compresor como la turbina tienen una eficiencia isentrópica de a) 100 por ciento, y b) 85 por ciento. Suponga calores específicos constantes a temperatura ambiente.|Joule",,,,,,,,
"Entra aire al compresor de un ciclo de potencia de tur bina de gas a 300 K y 100 kPa, y se comprime a 700 kPa y 580 K. Se transfiere calor al aire en la cantidad de 950 kJ/kg antes de que entre a la turbina. Para una eficiencia de turbina de 86 por ciento, determine a) la fracción de la producción de trabajo de la turbina que se usa para accionar el compresor y b) la eficiencia térmica. Suponga calores específicos variables para el aire.|Joule",,,,,,,,
"Un motor de avión opera en un ciclo Brayton ideal simple con una relación de presiones de 10. Se agrega calor al ciclo a razón de 500 kW; el aire pasa a través del motor a razón de 1 kg/s, y el aire al principio de la compresión está a 70 kPa y 0 °C. Determine la potencia producida por este motor y su eficiencia térmica. Use calores específicos cons tantes a temperatura ambiente|Joule",,,,,,,,
"Una planta eléctrica de turbina de gas opera en un ciclo Brayton simple entre los límites de presión de 100 y 2 000 kPa. El fluido de trabajo es aire, que entra al compresor a 40 °C y una razón de 700 m3/min y sale de la turbina a 650 °C. Usando calores específicos variables para el aire y supo niendo una eficiencia isentrópica de compresión de 85 por ciento y una eficiencia isentrópica de turbina de 88 por ciento, determine a) la producción neta de potencia, b) la relación del trabajo de retroceso y c) la eficiencia térmica.|Joule",,,,,,,,
"Una planta eléctrica con turbina de gas opera en el ciclo Brayton simple entre los límites de presión de 100 y 800 kPa. El aire entra al compresor a 30 °C y sale a 330 °C a un flujo másico de 200 kg/s. La temperatura máxima del ciclo es 1 400 K. Durante la operación del ciclo, la producción neta de potencia se mide experimentalmente como 60 MW. Suponga propiedades constantes para el aire a 300 K, con cv = 0.718 kJ/kg · K, cp = 1.005 kJ/kg · K, R = 0.287 kJ/kg · K, k = 1.4. a) Trace el diagrama T-s para el ciclo. b) Determine la eficiencia isentrópica de la turbina para estas condiciones de operación. c) Determine la eficiencia térmica del ciclo.|Joule",,,,,,,,
"Una planta eléctrica con turbina de gas opera en un ciclo Brayton modificado como se muestra en la figura, con una relación total de presiones de 8. El aire entra al compresor a 0 °C y 100 kPa. La temperatura máxima del ciclo es 1 500 K. El compresor y las turbinas son isentrópicos. La turbina de alta presión desarrolla sólo la suficiente potencia para operar el compresor. Suponga propiedades constantes para el aire a 300 K, con cv = 0.718 kJ/kg · K, cp = 1.005 kJ/kg · K, R = 0.287 kJ/kg · K, k = 1.4. a) Trace el diagrama T-s para el ciclo. Marque los estados de referencia. b) Determine la temperatura y la presión en el estado 4, a la salida de la turbina de alta presión. c) Si la producción neta de potencia es 200 MW, determine el flujo másico del aire dentro del compresor, en kg/s.|Joule",,,,,,,,
"Una planta eléctrica con turbina de gas que opera en el ciclo Brayton simple tiene una relación de presiones de 7. El aire entra al compresor a 0 °C y 100 kPa. La temperatura máxima del ciclo es 1 500 K. El compresor tiene una eficien cia isentrópica de 80 por ciento, y la turbina una de 90 por ciento. Suponga propiedades constantes para el aire a 300 K, con cv   0.718 kJ/kg · K, cp   1.005 kJ/kg · K, R   0.287 kJ/kg · K, k   1.4. a) Trace el diagrama T-s para el ciclo. b) Si la salida neta de potencia es 150 MW, determine el flujo volumétrico del aire hacia el compresor, en m3/s. c) Para una velocidad fija de entrada al compresor y un área de flujo fija, explique el efecto de aumentar la tempera tura de entrada al compresor (es decir, operación de verano contra operación de invierno) sobre el flujo másico de entrada y la salida neta de potencia, con todos los demás parámetros sin cambio|Joule",,,,,,,,
"Un ciclo de Otto con una relación de compresión de 7 comienza su compresión a 90 kPa y 15 °C. La tempera tura máxima del ciclo es 1 000 °C. Utilizando las suposicio nes de aire estándar, determine la eficiencia térmica de este ciclo usando a) calores específicos constantes a temperatura ambiente y b) calores específicos variables.|Otto",,,,,,,,
"Un motor de cuatro cilindros de ignición por chispa tiene una relación de compresión de 10.5, y cada cilindro tiene un volumen máximo de 0.4 L. Al princi pio del proceso de compresión, el aire está a 98 kPa y 37 °C, y la temperatura máxima en el ciclo es 2 100 K. Suponiendo que el motor opera en el ciclo ideal de Otto, determine a) la cantidad de calor suministrado por cilindro, b) la eficiencia térmica y c) el número de revoluciones por minuto necesario para una producción neta de potencia de 45 kW. Suponga calores específicos variables para el aire.|Otto",,,,,,,,
"Un combustible típico de hidrocarburos produce 43,000 kJ/kg de calor cuando se usa en un motor de ignición por chispa. Determine la relación de compresión que se nece sita para que un ciclo ideal de Otto use 0.035 gramos de com bustible para producir 1 kJ de trabajo. Use calores específicos constantes a temperatura ambiente. |Otto",,,,,,,,
"Un ciclo ideal de Otto tiene una relación de compre sión de 9.2 y usa aire como fluido de trabajo. Al inicio del proceso de compresión, el aire está a 98 kPa y 27 °C. La pre sión se duplica durante el proceso de adición de calor a volu men constante. Tomando en cuenta la variación de los calores específicos con la temperatura, determine a) la cantidad de calor que se transfiere al aire, b) la producción neta de trabajo, c) la eficiencia térmica y d) la presión media efectiva para el ciclo.|Otto",,,,,,,,
"Un ciclo Diesel tiene una relación de compresión de 20 y comienza su compresión a 13 psia y 45 °F. La tem peratura máxima del ciclo es 1.800 °F. Usando suposicio nes de aire estándar, determine la eficiencia térmica de este ciclo usando a) calores específicos constantes a temperatura ambiente y b) calores específicos variables.|Diesel",,,,,,,,
"Un motor diesel V-16 de cuatro tiempos, con tur bocargador, construido por GE Transportation Systems para accionar trenes rápidos, produce 3.500 hp a 1.200 rpm. Deter mine la cantidad de potencia producida por cilindro por a) ciclo mecánico y b) ciclo termodinámico.|Diesel",,,,,,,,
"Un ciclo Brayton con una relación de presiones de 12 opera con aire que entra al compresor a 13 psia y 20 °F, y a la turbina a 1 000 °F. Calcule el trabajo neto específico producido por este ciclo, tratando el aire como gas ideal con a) calores específicos constantes a temperatura ambiente y b) calores específicos variables.|Joule",,,,,,,,
"Considere un ciclo Brayton ideal simple que opera entre los límites de temperatura de 300 y 1.500 K. Usando calores específicos constantes a temperatura ambiente, deter mine la relación de presiones para la cual son iguales las tem peraturas de salida del compresor y la turbina.|Joule",,,,,,,,
"Considere un ciclo Brayton ideal simple con aire como fluido de trabajo. La relación de presiones del ciclo es 6, y las temperaturas mínima y máxima son 300 y 1.300 K. Ahora se duplica la relación de presiones sin cambiar las tem peraturas mínima y máxima del ciclo. Determine el cambio en a) la producción neta de trabajo por unidad de masa y b) la eficiencia térmica del ciclo como resultado de esta modifica ción. Suponga calores específicos variables para el aire.|Joule",,,,,,,,
"Una planta de turbina de gas opera en el ciclo Brayton regenerativo con dos etapas de recalentamiento y dos etapas de interenfriamiento entre los límites de presión de 100 y 1 200 kPa. El fluido de trabajo es aire. El aire entra a la primera y a la segunda etapas del compresor a 300 K y 350 K, respectiva mente, y a la primera y segunda etapas de la turbina, a 1 400 K y 1.300 K, respectivamente. Suponiendo que tanto el com presor como la turbina tienen una eficiencia isentrópica de 80 por ciento y que el regenerador tiene una efectividad de 75 porciento, y usando calores específicos variables, determine a) larelación del trabajo de retroceso y la producción neta de traba jo, b) la eficiencia térmica y c) la eficiencia según la segunda ley del ciclo. También determine d) las exergías en las salidas de la cámara de combustión (estado 6) y el regenerador (estado 10). (Vea la figura 9-43 en el texto.)|Joule",,,,,,,,
"Las necesidades de electricidad y calor de una planta se deben satisfacer mediante una fábrica que consiste en una turbina de gas y un intercambiador de calor para la producción de vapor de agua. La planta opera en un ciclo Brayton simple entre los límites de presión de 100 y 1.000 kPa con aire como fluido de trabajo. El aire entra al compresor a 20 °C. Los gases de combustión salen de la turbina y entran al intercambiador de calor a 450 °C, y salen del intercambiador de calor a 325 °C, mientras el agua líquida entra al intercambiador de calor a 15 °C y sale a 200 °C como vapor saturado. La potencia neta producida por el ciclo de turbina de gas es de 1 500 kW. Suponiendo una eficiencia isentrópica del compresor de 86 por ciento y una eficiencia isentrópica de la turbina de 88 por ciento, y usando calores específicos variables, determine a) el flujo másico de aire, b) la relación del trabajo de retroceso y la eficiencia térmica y c) la tasa de producción de vapor de agua en el intercambiador de calor. También determine d) la eficiencia de utilización de la planta de cogeneración, defi nida como la relación de la energía total utilizada a la energía suministrada a la planta.|Joule",,,,,,,,
"Se le ha pedido diseñar una planta de generación eléc trica en un laboratorio establecido en la Luna. Usted ha seleccionado un ciclo Brayton simple que usa argón como fluido de trabajo y tiene una relación de presiones de 6. El intercam biador de calor de rechazo de calor mantiene el estado a la entrada del compresor a 50 kPa y  20 °C. Usted ha decidido usar colectores solares para servir como fuente de calor. Las pruebas de estos colectores dan los resultados de aumento de temperatura que se muestran en la figura. Desarrolle una grá fica de la potencia que producirá este sistema, y su eficiencia térmica, como función del flujo másico de argón. ¿Hay un flujo másico “óptimo” con el que se debe operar esta planta de generación eléctrica?|Joule",,,,,,,,
"Gases de escape de la turbina de un ciclo Brayton simple son bastante calientes y se pueden usar para otros pro pósitos térmicos. Un uso propuesto es generar vapor saturado a 110 °C de agua a 30 °C en una caldera. Este vapor se distri buirá a varios edificios en un campus universitario para cale facción de espacios. Para este fin se va a usar un ciclo Bra yton con una relación de presiones de 6. Grafique la potencia producida, el flujo de vapor de agua producido y la tempera tura máxima del ciclo como funciones de la tasa de adición de calor al ciclo. La temperatura a la entrada de la turbina no debe exceder 2.000 °C.|Joule",,,,,,,,
"Un ingeniero ha propuesto usar un ciclo Rankine ideal simple que usa refrigerante 134a para producir trabajo con calor de un depósito de energía térmica de baja tempera tura. La caldera opera a 1.6 MPa, el condensador a 0.4 MPa, y la entrada de la turbina a 80 °C. Determine el flujo másico de 134a necesario para que este ciclo produzca 750 kW de potencia, y la eficiencia térmica del ciclo.|Rankine",,,,,,,,
"Se usa refrigerante 134a como fluido de trabajo en un ciclo Rankine ideal simple que opera la caldera a 1 400 kPa y el condensador a 10 °C. La mezcla a la salida de la turbina tiene una calidad de 98 por ciento. Determine la temperatura de entrada a la turbina, la eficiencia térmica del ciclo y la relación de trabajo de retroceso de este ciclo.|Rankine",,,,,,,,
"Un ciclo Rankine ideal simple que usa agua como fluido de trabajo opera su condensador a 40 °C y su caldera a 300 °C. Calcule el trabajo que produce la turbina, el calor que se suministra en la caldera, y la eficiencia térmica de este ciclo cuando el vapor entra a la turbina sin ningún sobrecalen tamiento.|Rankine",,,,,,,,
" La turbina de una planta eléctrica de vapor que opera en un ciclo Rankine ideal simple produce 1 750 kW de poten cia cuando la caldera opera a 800 psia, el condensador a 3 psia, y la temperatura a la entrada de la turbina es 900 °F. Determine la tasa de suministro de calor en la caldera, la tasa de rechazo de calor en el condensador y la eficiencia térmica del ciclo.|Rankine",,,,,,,,
"Un ciclo Rankine ideal simple con agua como fluido de trabajo opera entre los límites de presión de 2 500 psia en la caldera y 5 psia en el condensador. ¿Cuál es la tempera tura mínima necesaria a la entrada de la turbina para que la calidad del vapor que sale de la turbina no sea menor de 80 por ciento? Cuando se opera a esta temperatura, ¿cuál es la eficiencia térmica del ciclo?|Rankine",,,,,,,,
"Un ciclo Rankine de vapor de agua opera entre los límites de presión de 2.500 psia en la caldera y 1 psia en el condensador. La temperatura a la entrada de la turbina es de 800 °F. La eficiencia isentrópica de la turbina es de 90 por ciento, las pérdidas de la bomba son despreciables y el ciclo está diseñado para producir 1.000 kW de potencia. Calcule el flujo másico a través de la caldera, la potencia que produce la turbina, la tasa de suministro de calor en la caldera y la eficiencia térmica.|Rankine",,,,,,,,
"Considere una planta eléctrica de vapor de agua que opera en un ciclo Rankine ideal simple y tiene una producción neta de potencia de 45 MW. El vapor entra a la turbina a 7 MPa y 500 °C y se enfría en el condensador a una presión de 10 kPa mediante la circulación de agua de enfriamiento de un lago por los tubos del condensador a razón de 2.000 kg/s. Muestre el ciclo en un diagrama T-s con respecto a las líneas de saturación y determine a) la eficiencia térmica del ciclo, b) el flujo másico del vapor y c) la elevación de temperatura del agua de enfriamiento.|Rankine",,,,,,,,
"Un ciclo Rankine simple usa agua como fluido de tra bajo. La caldera opera a 6 000 kPa y el condensador a 50 kPa. A la entrada de la turbina, la temperatura es 450 °C. La efi ciencia isentrópica de la turbina es 94 por ciento, las pérdidas de presión y de bomba son despreciables, y el agua que sale del condensador está subenfriada en 6.3 °C. La caldera está diseñada para un flujo másico de 20 kg/s. Determine la tasa de adición de calor en la caldera, la potencia necesaria para operar las bombas, la potencia neta producida por el ciclo, y la eficiencia térmica.|Rankine",,,,,,,,
"Se deben calcular y comparar la producción neta de trabajo y la eficiencia térmica para los ciclos Carnot y Ran kine ideal simple. El vapor de agua entra a la turbina en ambos casos a 5 MPa como vapor saturado y la presión del condensador es de 50 kPa. En el ciclo Rankine, el estado de salida del condensador es líquido saturado y en el ciclo Carnot el estado de entrada a la caldera es líquido saturado. Trace diagramas T-s para ambos ciclos.|Rankine",,,,,,,,
"Considere una planta termoeléctrica que quema el car bón y que produce 120 MW de potencia eléctrica. La planta opera en un ciclo Rankine ideal simple con condiciones de entrada a la turbina de 9 MPa y 550 °C, y una presión del condensador de 15 kPa. El carbón tiene un poder calorífico (energía liberada cuando se quema el combustible) de 29,300 kJ/kg. Suponiendo que 75 por ciento de esta energía se trans fiere al vapor de agua en la caldera, y que el generador eléc trico tiene una eficiencia de 96 por ciento, determine a) la eficiencia total de la planta (la relación de producción neta de potencia eléctrica a entrada de energía como resultado de combustión de combustible) y b) la tasa necesaria de suministro de carbon.|Rankine",,,,,,,,
"En la figura P10-27 se da el esquema de una planta geotérmica de una sola cámara de vaporización instantánea, con números de estados indicados. El recurso geotérmico está disponible como líquido saturado a 230 °C. El líquido geotér mico se saca del pozo de producción a razón de 230 kg/s, y se estrangula de la cámara de vaporización instantánea a una presión de 500 kPa, mediante un proceso esencialmente isentálpico, al separador donde se separa el vapor resultante del líquido y se conduce a la turbina. El vapor sale de la turbina a 10 kPa con un contenido de humedad de 10 por ciento, y entra al condensador donde se condensa y se conduce a un pozo de reinyección al suelo, junto con el líquido que viene del separador. Determine a) el flujo másico del vapor a través de la turbina, b) la eficiencia isentrópica de la turbina, c) la producción de potencia por la turbina y d) la eficiencia tér mica de la planta (la relación de la producción de trabajo por la turbina a la energía del fluido geotérmico relativa a las con diciones ambientales estándar)|Rankine",,,,,,,,
