enunciados;modelos
Se tiene un ciclo reversible de Otto, en un motor que opera con 0.004 [kg] de aire como gas ideal. Se sabe que la presión máxima en el ciclo es 18 [bar] y su temperatura máxima 750 [K]. El volumen al inicio de la compresión adiabática es 0.0019 [m3] y la temperatura 20 [°C], determine: b) La temperatura y el volumen al final de la compresión. c) La variación de entropía del inicio de la compresión hasta que alcanza la presión máxima.;Otto
"Trace un ciclo Otto en los planos PV y TS, estando en el punto 1 al principio del proceso de compresión isentrópica. Estos datos se aplican al ciclo con el estándar del aire: P1= 101.4 KPa abs.; T1=333.3 K; V1=283 litros; rk=5; T3=2000K. Obtenga: a) w b) P2,  V2,  T2 c) P3 d) P4, T4 e) QA f) QR g) e (eficiencia) h) c (Porcentaje de coeficiente de espacio muerto) i) la parte de QA, que no está disponible (T0=T1=333.3 K)";Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 9.0 y al que se le suministra una cantidad de calor de 821 Btu/lbm. Si la presión y la temperatura al comienzo del proceso de compresión son 14.0 psia y 40 ºF. determínese utilizando los valores de la Tabla A.51 (a) la presión y temperatura máximas del ciclo. (b) el trabajo neto obtenido, en Btu/lbm, (c) el rendimiento térmico, y (d) la presión media efectiva en psi.;Otto
En un ciclo Otto de aire estándar, el aire entra al compresor a 100 kPa y 290 K. La presión de salida del compresor es de 1840 kPa y la masa es de 1 kg. Si la transmisión de calor al aire es de 1863 kJ/kg, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar los diagramas P-V y T-s del ciclo Otto.;Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 0.095 MPa y 22 ºC al comenzar la carrera de compresión, y el volumen del cilindro es 2800 cm3. La relación de compresión es 9, y en el proceso de suministro de calor se comunican 3.54 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia neta de 110 kW.;Otto
En un motor de ciclo Otto la temperatura de la mezcla de aire-combustible es de 28 ºC y la temperatura al final de la compresión es de 290 ºC. Asumiendo k = 1.4 determinar r y el rendimiento.;Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 14.5 psia y la temperatura 80ºF. El calor suministrado al aire es 888 Btu/lbm por ciclo, utilizando los datos de la Tabla A.51, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico, (c) la presión media efectiva, en psi, y (d) el flujo volumétrico en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 110 hp.;Otto
Las condiciones iniciales para un ciclo Otto de aire estándar que funciona con una relación de compresión de 8:1 son 0.95 bar y 17 ºC. El volumen del cilindro al comenzar la carrera de compresión es 2.20 L, y el calor suministrado a volumen constante es 3.60 kJ. (a) Calcúlese la presión y la temperatura al final de cada uno de los procesos del ciclo, y (b) determínese el rendimiento térmico y la presión media efectiva del ciclo.;Otto
Un motor de gasolina de cuatro cilindros y cuatro tiempos, de 1.6 L, opera en ciclo de Otto con una relación de compresión de 11. El aire está a 100 kPa y 37 ºC al inicio del proceso de compresión, y la presión máxima en el ciclo es de 8 MPa. Los procesos de compresión y expansión pueden modelarse como politrópicos, con una constante politrópica de 1.3. Usando calores específicos constantes a 850 K, determine a) la temperatura al final del proceso de expansión, b) la producción neta de trabajo y la eficiencia térmica, c) la presión media efectiva, d) el número de revoluciones por minuto del motor para una producción de potencia neta de 50 kW y e) el consumo específico de combustible, en g/kWh, definido como la relación de la masa de combustible consumido al trabajo neto producido.;Otto
Un motor de ignición de seis cilindros, cuatro tiempos, con encendido por chispa, operando en el ciclo ideal de Otto, toma aire a 14 psia y 65 ºF, y está limitado a una temperatura máxima de ciclo de 1 600 ºF. Cada cilindro tiene un diámetro de 3.5 pulg, y cada émbolo tiene una carrera de 3.9 pulg. El volumen mínimo confinado es 14 por ciento del volumen máximo confinado. ¿Cuánta potencia producirá este motor cuando opera a 2 500 rpm? Use calores específicos constantes a temperatura ambiente.;Otto
Un motor ideal Otto con 15 % de espacio muerto funciona con 20 lb/min (9.08 kg/min) de aire, inicialmente a 14 psia (0.98 kgf/cm2 abs.) y 120 ºF (49 ºC) utilizar rf/a = 0.0556 lb (comb.)/lb (aire) con un poder calorífico inferior (a volumen constante y a 0 R) de q10 = 19000 Btu/lb (10555 kcal/kg) de combustible (§13.27). Determinar (a) su volumen de desplazamiento y la masa admitida durante la succión en el caso de una eficiencia volumétrica de 75 % (b) las temperaturas y presiones en los vértices del ciclo, figura 16/4  (e) la potencia en hp y la eficiencia térmica  (d) la p.m.e. y la eficiencia motriz al freno en el caso de una eficiencia térmica al freno de 24 %  y (e) la disponibilidad energética en el estado 4 respecto de un resumidero a 14 psia y 120 ºF. Emplear valores de las tablas de aire para el estándar de aire.;Otto
Considere una central eléctrica de vapor que opera en un ciclo Rankine ideal simple y que tiene una salida de neta de potencia de 45 MW. El vapor entra a la turbina a 7 MPa y 500 °C, y se enfría en el condensador a una presión de 10 kPa mediante el agua de enfriamiento proveniente de un lago y que circula por los tubos del condensador a una tasa de 2000 kg/s. Muestre el ciclo en un diagrama T-s respecto de las líneas de saturación y determine a) la eficiencia térmica del ciclo, b) el flujo másico del vapor y c) el aumento de temperatura del agua de enfriamiento.;Rankine
La turbina de una planta eléctrica de vapor que opera en un ciclo Rankine ideal simple produce 1750 kW de potencia cuando la caldera opera a 800 psia, el condensador a 3 psia, y la temperatura a la entrada de la turbina es 900 °F. Determine la tasa de suministro de calor en la caldera, la tasa de rechazo de calor en el condensador y la eficiencia térmica del ciclo.;Rankine
Un ciclo Rankine ideal simple con agua como fluido de trabajo opera entre los límites de presión de 2 500 psia en la caldera y 5 psia en el condensador. ¿Cuál es la temperatura mínima necesaria a la entrada de la turbina para que la calidad del vapor que sale de la turbina no sea menor de 80 por ciento? Cuando se opera a esta temperatura, ¿cuál es la eficiencia térmica del ciclo?;Rankine
"En un generador de potencia que opera con el ciclo Rankine entra agua al generador de vapor a 100 bares y sale del condensador a 0.10 bares y 45 ºC. En el condensador circula agua de enfriamiento a razón de 1.31E6 kg/h, sufriendo una elevación de temperatura de 8.5 ºC. Determine: a) la entalpia y la entropía a la salida de la turbina; b) la entalpia a la entrada de la turbina; c) el calor suministrado; d) la eficiencia térmica, y e) la potencia de la turbina. Considere que el flujo másico de vapor es de 23740 kg/h.";Rankine
Considere una central eléctrica de vapor que opera en el ciclo Rankine ideal simple. El vapor de agua entra a la turbina a 3 MPa y 350 ºC y es condensado en el condensador a una presión de 75 kPa. Determine la eficiencia térmica de este ciclo.;Rankine
Un ciclo Rankine de vapor de agua opera entre los límites de presión de 2.500 psia en la caldera y 1 psia en el condensador. La temperatura a la entrada de la turbina es de 800 ºF. La eficiencia isentrópica de la turbina es de 90 por ciento, las pérdidas de la bomba son despreciables y el ciclo está diseñado para producir 1.000 kW de potencia. Calcule el flujo másico a través de la caldera, la potencia que produce la turbina, la tasa de suministro de calor en la caldera y la eficiencia térmica.;Rankine
Considere una planta eléctrica de vapor de agua que opera en un ciclo Rankine ideal simple y tiene una producción neta de potencia de 45 MW. El vapor entra a la turbina a 7 MPa y 500 ºC y se enfría en el condensador a una presión de 10 kPa mediante la circulación de agua de enfriamiento de un lago por los tubos del condensador a razón de 2.000 kg/s. Muestre el ciclo en un diagrama T-s con respecto a las líneas de saturación y determine a) la eficiencia térmica del ciclo, b) el flujo másico del vapor y c) la elevación de temperatura del agua de enfriamiento.;Rankine
En un ciclo de Rankine se sabe que la turbina desarrolla trabajo en cada unidad de masa de 521.8 [kJ/kg] cuando la entalpía específica del vapor a la entrada es 2 675.8 [kJ/kg]. La presión del agua a la entrada de la caldera es 1 100.32 [kPa] y en ella recibe una cantidad de calor, asociado a cada unidad de masa, de q = 2 592.2 [kJ/kg]. Si la presión y el volumen específico del agua en la entrada de la bomba son 2.34 [kPa] y 0.001 [m3/kg] respectivamente, determine: b) El trabajo neto, asociado a cada unidad de masa, que entrega el ciclo. c) La entalpía específica de la sustancia de trabajo cuando entra al condensador y la eficiencia del ciclo.;Rankine
En un ciclo de Rankine básico, el agua entra en la turbina a 25 [bar] y sale a 1 [bar], entra en la bomba con una densidad de 10^3 [kg/m3] como líquido saturado y en la caldera recibe 2 000 [kJ/kg]. Si la eficiencia del ciclo es 0.3, determine el trabajo, asociado a cada unidad de masa, de la bomba y de la turbina. Considere que ambos equipos son adiabáticos y que las variaciones de energía cinética y potencial gravitatoria son despreciables.;Rankine
A la turbina de un ciclo Rankine ideal entra vapor sobrecalentado a 30 bar y 500 ºC y sale del condensador como líquido saturado a 0.1 bar. Determínese (a) el rendimiento térmico. (b) el flujo másico de vapor necesario en kg/h. (c) el flujo de calor suministrado al ciclo en MW, y (d) el flujo másico de agua de refrigeración en kg/h si ésta aumenta su temperatura desde 18 hasta 28 ºC. La potencia neta de salida es 100 MW.;Rankine
Determínese (a) la calidad del vapor que sale de la turbina, y (b) el rendimiento térmico de un ciclo Rankine ideal sin sobrecalentamiento en el que las condiciones de entrada a la turbina son vapor saturado a 30 bar y la presión del condensador es 0.1 bar.;Rankine
En un ciclo Rankine ideal, el vapor de agua entra a la turbina a 40 bar y 440 ºC. Si de la turbina salen 10000 kW, determínese (1) la calidad a la salida de la turbina, (2) el rendimiento térmico, y (3) el flujo másico de vapor, en kg/h, para presiones del condensador de (a) 0.08 bar, y (b) 0.04 bar.;Rankine
En un ciclo Rankine se dispone de vapor sobrecalentado a 2720 kPa y 588 K, el cual entra a la turbina y se expande hasta una presión de 6.89 kPa, para luego entrar al condensador, la temperatura en el estado 2 es de 314 K y el flujo másico es igual a 3700 kg/h, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar el diagrama T-s del ciclo Rankine ideal.;Rankine
Las condiciones de entrada de la turbina de un ciclo Rankine son 30 bar y 500 ºC y la presión a la salida de la misma es 0.1 bar. La turbina funciona adiabáticamente con un rendimiento del 82 por 100, mientras que el rendimiento de la bomba es del 78 por 100. Calcúlese (a) el rendimiento térmico del ciclo, (b) la relación de acoplamiento, (c) el flujo másico de vapor de agua necesario, en kg/h. si la potencia neta de salida es 100 MW, (d) el flujo másico de agua de refrigeración necesario, en kg/h. si la temperatura del agua aumenta desde 18 ºC hasta 28 ºC, y (e) la producción de entropía en la turbina y en la bomba, en kJ/kg K.;Rankine
Por un ciclo Rankine de una unidad de potencia de vapor de agua circula un flujo másico de 23740 kg/h. El agua entra a la caldera a 100 bar y sale del condensador a 0.10 bar y 45.0 ºC. El flujo másico de agua de refrigeración en el condensador es igual a 1.31 x 10^6 kg/h, donde aumenta su temperatura 8.50 ºC. Determínese (a) la entalpia y entropía a la salida de la turbina, (b) la entalpia a la entrada de la turbina, (c) el calor comunicado en kJ/kg, (d) el rendimiento térmico, y (e) la potencia que sale de la turbina en kW.;Rankine
Un ciclo Rankine ideal de potencia de vapor que produce 125 MW de potencia bruta en la turbina tiene las siguientes condiciones de funcionamiento: entrada a la turbina, 80 bar y 560 ºC  presión en el condensador 0.06 bar. Determínese (a) el calor suministrado al ciclo, en kJ/kg, (b) el rendimiento térmico, (c) el flujo másico de vapor en kg/h, y (d) el flujo másico de agua de refrigeración que se necesita en el condensador, en kg/h. si ésta aumenta su temperatura 8 ºC.;Rankine
Un ciclo Rankine ideal produce vapor de agua a 140 bar y 560 ºC y el fluido condensa a 0.06 bar. La salida neta de potencia es 20 MW. Determínese (a) el calor suministrado, en kJ/kg. (b) el rendimiento térmico, (c) el flujo másico de vapor en kg/h, y (d) el flujo másico de agua de refrigeración que se necesita en el condensador, si ésta aumenta su temperatura 10 ºC.;Rankine
Un ciclo Rankine ideal que produce 150 MW de potencia neta tiene unas condiciones de entrada a la turbina para el vapor de 80 bar y 440 ºC y una presión en el condensador 0.080 bar. El agua de refrigeración del condensador aumenta su temperatura 9.4 ºC. Determínese (a) la calidad del vapor a la salida de la turbina, (b) el rendimiento térmico, (c) el flujo másico de vapor necesario en kg/s. y (d) el flujo volumétrico de agua de refrigeración que se necesita, en m3/s, si el agua entra a 18 ºC.;Rankine
Un ciclo Rankine simple usa agua como fluido de trabajo. La caldera opera a 6 000 kPa y el condensador a 50 kPa. A la entrada de la turbina, la temperatura es 450 ºC. La eficiencia isentrópica de la turbina es 94 por ciento, las pérdidas de presión y de bomba son despreciables, y el agua que sale del condensador está subenfriada en 6.3 ºC. La caldera está diseñada para un flujo másico de 20 kg/s. Determine la tasa de adición de calor en la caldera, la potencia necesaria para operar las bombas, la potencia neta producida por el ciclo, y la eficiencia térmica.;Rankine
Un ciclo Rankine tiene una presión de salida de turbina de 0.008 MPa y una presión de entrada en turbina de 6.0 MPa. Determínese (1) la calidad a la salida de la turbina, (2) el rendimiento térmico, y (3) el flujo másico de vapor, en kg/h, para una potencia neta de salida de 10 MW, con una temperatura de entrada a la turbina de (a) 540 ºC. y (b) 440 ºC.;Rankine
Un ciclo Rankine tiene una presión de salida de turbina de 0.08 bar y una temperatura de entrada en turbina de 600 ºC. Determínese (1) la calidad a la salida de la turbina, y (2) el rendimiento térmico para una presión de entrada a la turbina de (a) 120 bar, y (h) 60 bar.;Rankine
Un ciclo Rankine utiliza energía solar como fuente térmica y refrigerante 134a como fluido de trabajo. Éste entra a la bomba como líquido saturado a 9 bar y sale a 16 bar. La temperatura de entrada a la turbina es 160 ºC y el flujo másico es 1.000 kg/h. Determínese (a) el trabajo neto de salida en kJ/kg, (b) el rendimiento térmico, y (c) el área, en m2, del colector solar que se necesita si el colector recibe 650 J/m2 s.;Rankine
Un ciclo Rankine utiliza un pequeño acumulador de energía solar a 90 ºC como fuente térmica y refrigerante 134a como fluido de trabajo. Éste entra a la bomba como líquido saturado a 7 bar y sale de la misma a 16 bar. La temperatura de entrada a la turbina es 80 ºC y el flujo másico es 1.200 kg/h. Determínese (a) el trabajo neto de salida en kJ/kg, (b) el rendimiento térmico, y (c) el flujo másico necesario de agua procedente del acumulador, en kg/h, si la temperatura del agua disminuye 5 ºC al atravesar el evaporador del ciclo.;Rankine
